id,brand,model,year,category,rating,displacement_ccm,power_hp,engine_cylinder,fuel_capacity_lts,dry_weight_kg,seat_height_mm
32534,triumph,thruxton 1200 r,2019,Classic,Unknown,1200.0,97.0,Twin,14.5,203.0,810.0
32535,triumph,thruxton 1200 r,2020,Classic,Unknown,1200.0,97.0,Twin,14.5,206.0,810.0
32536,triumph,thruxton 1200rs,2020,Classic,Unknown,1200.0,103.0,Twin,14.5,203.0,810.0
32540,triumph,thruxton ace,2015,Classic,Unknown,865.0,69.0,Twin,16.0,214.0,820.0
32541,triumph,thruxton rs,2021,Classic,Unknown,1200.0,104.0,Twin,14.5,197.0,810.0
32542,triumph,thruxton rs,2022,Classic,Unknown,1200.0,103.0,Twin,14.5,197.0,810.0
32543,triumph,thruxton rs ton up,2022,Classic,Unknown,1200.0,103.0,Twin,14.5,197.0,810.0
32544,triumph,thruxton se,2011,Classic,3.1,865.0,68.0,Twin,15.9,Unknown,820.0
32545,triumph,thruxton tfc,2020,Classic,Unknown,1200.0,109.0,Twin,14.5,195.0,815.0
32554,triumph,thunderbird,2010,Custom / cruiser,3.9,1594.0,84.5,Twin,22.0,Unknown,700.0
32555,triumph,thunderbird,2011,Custom / cruiser,3.6,1597.0,85.0,Twin,21.95,Unknown,699.0
32556,triumph,thunderbird,2012,Custom / cruiser,3.7,1597.0,86.0,Twin,22.0,Unknown,700.0
32557,triumph,thunderbird,2013,Custom / cruiser,3.6,1597.0,86.0,Twin,22.0,Unknown,700.0
32558,triumph,thunderbird,2014,Custom / cruiser,3.3,1597.0,86.0,Twin,22.0,Unknown,700.0
32559,triumph,thunderbird,2015,Custom / cruiser,3.9,1597.0,86.0,Twin,22.0,308.0,700.0
32560,triumph,thunderbird,2016,Custom / cruiser,Unknown,1597.0,86.0,Twin,22.0,308.0,700.0
32561,triumph,thunderbird,2018,Custom / cruiser,Unknown,1597.0,85.0,Twin,22.0,308.0,700.0
32563,triumph,thunderbird commander,2014,Custom / cruiser,3.7,1699.0,94.0,Twin,22.0,Unknown,700.0
32564,triumph,thunderbird commander,2016,Custom / cruiser,3.9,1699.0,94.0,Twin,22.0,317.0,700.0
32565,triumph,thunderbird commander,2018,Custom / cruiser,Unknown,1699.0,94.0,Twin,22.0,317.0,700.0
32566,triumph,thunderbird commander,2019,Custom / cruiser,Unknown,1699.0,94.0,Twin,22.0,317.0,700.0
32567,triumph,thunderbird commander abs,2015,Custom / cruiser,3.7,1699.0,94.0,Twin,22.0,317.0,700.0
