id,Brand,Model,Year,Category,Engine Size (cc),Power (hp),Engine Cylinder,Fuel Capacity (Lts),Weight (kg),Seat Height (mm),Power-to-Weight (hp/kg)
7601,Ducati,multistrada 1200 enduro,2018,Enduro / Offroad,1198,152.0,V2,30.0,225.0,870.0,0.68
7602,Ducati,multistrada 1200 enduro,2019,Enduro / Offroad,1198,160.0,V2,30.0,225.0,870.0,0.71
7603,Ducati,multistrada 1200 enduro pro,2018,Enduro / Offroad,1198,152.0,V2,30.0,232.0,870.0,0.66
7604,Ducati,multistrada 1200 pikes peak,2016,Allround,1198,160.0,V2,20.0,212.0,825.0,0.75
7605,Ducati,multistrada 1200 pikes peak,2017,Allround,1198,160.0,V2,20.0,208.0,825.0,0.77
7606,Ducati,multistrada 1200 s,2010,Sport Touring,1198,150.0,V2,20.0,192.0,850.0,0.78
7607,Ducati,multistrada 1200 s,2015,Allround,1198,160.0,V2,20.0,212.0,825.0,0.75
7608,Ducati,multistrada 1200 s,2016,Allround,1198,160.0,V2,20.0,212.0,825.0,0.75
7609,Ducati,multistrada 1200 s,2017,Allround,1198,160.0,V2,20.0,212.0,825.0,0.75
7610,Ducati,multistrada 1200 s d air,2017,Allround,1198,160.0,V2,20.0,213.0,825.0,0.75
7611,Ducati,multistrada 1200 s d-air,2015,Allround,1198,160.0,V2,20.0,212.0,825.0,0.75
7612,Ducati,multistrada 1200 s d-air,2016,Allround,1198,160.0,V2,20.0,213.0,825.0,0.75
7613,Ducati,multistrada 1200 s granturismo,2013,Touring,1198,147.0,V2,20.0,217.0,850.0,0.68
7614,Ducati,multistrada 1200 s granturismo,2014,Touring,1198,150.0,V2,20.0,217.0,850.0,0.69
7615,Ducati,multistrada 1200 s pikes peak,2012,Touring,1198,150.0,V2,20.0,192.0,850.0,0.78
7616,Ducati,multistrada 1200 s pikes peak,2013,Super Motard,1198,147.0,V2,20.0,194.0,850.0,0.76
7617,Ducati,multistrada 1200 s pikes peak,2014,Super Motard,1198,147.0,V2,20.0,194.0,850.0,0.76
7618,Ducati,multistrada 1200 s sport,2011,Sport Touring,1198,150.0,V2,20.0,189.0,850.0,0.79
7619,Ducati,multistrada 1200 s sport,2012,Sport Touring,1198,150.0,V2,20.0,189.0,850.0,0.79
7620,Ducati,multistrada 1200 s touring,2011,Touring,1198,150.0,V2,20.0,192.0,850.0,0.78
7621,Ducati,multistrada 1200 s touring,2012,Touring,1198,150.0,V2,20.0,192.0,850.0,0.78
7622,Ducati,multistrada 1200 s touring,2013,Sport Touring,1198,147.0,V2,20.0,206.0,850.0,0.71
7623,Ducati,multistrada 1200 s touring,2014,Sport Touring,1198,147.0,V2,20.0,206.0,850.0,0.71
7624,Ducati,multistrada 1260,2018,Allround,1262,158.0,V2,20.0,187.0,825.0,0.84
7625,Ducati,multistrada 1260,2019,Allround,1262,158.0,V2,20.0,209.0,825.0,0.76
7626,Ducati,multistrada 1260,2020,Allround,1262,158.0,V2,20.0,209.0,825.0,0.76
7627,Ducati,multistrada 1260 d-air,2018,Allround,1262,158.0,V2,20.0,213.0,825.0,0.74
7628,Ducati,multistrada 1260 d-air,2019,Allround,1262,158.0,V2,20.0,213.0,825.0,0.74
7629,Ducati,multistrada 1260 d-air,2020,Allround,1262,158.0,V2,20.0,213.0,825.0,0.74
7630,Ducati,multistrada 1260 enduro,2019,Allround,1262,158.0,V2,20.0,225.0,840.0,0.7
7631,Ducati,multistrada 1260 enduro,2020,Enduro / Offroad,1262,158.0,V2,30.0,225.0,840.0,0.7
7632,Ducati,multistrada 1260 enduro,2021,Enduro / Offroad,1262,158.0,V2,30.0,225.0,840.0,0.7
7633,Ducati,multistrada 1260 pikes peak,2018,Allround,1262,158.0,V2,20.0,206.0,825.0,0.77
7634,Ducati,multistrada 1260 pikes peak,2019,Allround,1262,158.0,V2,20.0,206.0,825.0,0.77
7635,Ducati,multistrada 1260 pikes peak,2020,Naked Bike,1262,158.0,V2,30.0,206.0,825.0,0.77
7636,Ducati,multistrada 1260 s,2018,Allround,1262,158.0,V2,20.0,212.0,825.0,0.75
7637,Ducati,multistrada 1260 s,2019,Allround,1262,158.0,V2,20.0,212.0,825.0,0.75
7638,Ducati,multistrada 1260 s,2020,Allround,1262,158.0,V2,20.0,209.0,825.0,0.76
7639,Ducati,multistrada 1260 s grand tour,2020,Sport Touring,1262,158.0,V2,20.0,215.0,825.0,0.73
7641,Ducati,multistrada 620,2019,Naked Bike,618,62.2,V2,15.0,183.0,830.0,0.34
7644,Ducati,multistrada 950,2017,Allround,937,160.0,V2,20.0,205.7,840.0,0.78
7645,Ducati,multistrada 950,2018,Allround,937,113.0,V2,20.0,205.7,840.0,0.55
7646,Ducati,multistrada 950,2019,Allround,937,113.0,V2,20.0,205.7,840.0,0.55
7647,Ducati,multistrada 950,2020,Allround,937,113.0,V2,20.0,204.0,840.0,0.55
7648,Ducati,multistrada 950,2021,Allround,937,113.0,V2,20.0,204.0,840.0,0.55
7649,Ducati,multistrada 950  spoked wheels,2019,Allround,937,113.0,V2,20.0,205.7,840.0,0.55
7650,Ducati,multistrada 950 s,2019,Allround,937,113.0,V2,20.0,205.7,840.0,0.55
7651,Ducati,multistrada 950 s,2020,Allround,937,113.0,V2,20.0,204.0,840.0,0.55
7652,Ducati,multistrada 950 s,2021,Allround,937,113.0,V2,20.0,204.0,840.0,0.55
7653,Ducati,multistrada v2,2022,Sport,937,93.0,V2,20.0,199.0,830.0,0.47
7654,Ducati,multistrada v2 s,2022,Allround,937,93.0,V2,20.0,202.0,830.0,0.46
7660,Ducati,multistrada v4s,2021,Sport,1158,179.0,V4,22.0,215.0,840.0,0.83
7661,Ducati,multistrada v4s,2022,Sport,1158,170.0,V4,22.0,215.0,840.0,0.79
7662,Ducati,panigale 1299 r final edition,2018,Sport,1285,209.0,V2,17.0,168.0,830.0,1.24
